"id","host_id","host_since","host_is_superhost","host_listings_count","property_type","room_type","price","last_review","number_of_reviews","availability_30","review_scores_rating","City"
3753539,8352459,2013-08-23,0,1,"Entire apartment","Entire home/apt",139,2019-08-09,8,0,93,"Paris"
40506566,16364846,2014-06-04,0,1,"Entire apartment","Entire home/apt",70,2020-03-01,3,0,100,"Paris"
527267,2591204,2012-06-09,0,1,"Entire apartment","Entire home/apt",110,2020-08-16,9,10,93,"Paris"
40852941,23104986,2014-10-29,1,1,"Private room in apartment","Private room",35,2020-02-17,8,0,100,"Paris"
16268793,22401183,2014-10-11,0,1,"Entire apartment","Entire home/apt",52,2020-10-29,140,30,95,"Paris"
34532014,8039757,2013-08-09,0,1,"Entire apartment","Entire home/apt",79,2019-10-06,7,27,94,"Paris"
28691729,216244182,2018-09-19,0,1,"Entire apartment","Entire home/apt",104,2019-11-16,24,0,91,"Paris"
43613769,131659950,2017-05-23,0,6,"Entire condominium","Entire home/apt",88,2020-10-22,12,5,98,"Paris"
19673839,107236424,2016-12-14,1,1,"Entire apartment","Entire home/apt",99,2020-01-02,24,0,97,"Paris"
43842146,36341720,2015-06-21,1,2,"Entire apartment","Entire home/apt",35,2020-09-20,8,0,95,"Paris"
9608109,49716296,2015-11-23,0,2,"Entire place","Entire home/apt",62,2020-03-10,188,0,89,"Paris"
40955714,14832087,2014-04-28,0,2,"Entire apartment","Entire home/apt",96,2020-03-07,5,28,92,"Paris"
22159095,28281528,2015-02-24,0,1,"Entire apartment","Entire home/apt",75,2019-10-04,15,0,98,"Paris"
44425686,127958388,2017-04-28,0,0,"Entire apartment","Entire home/apt",60,2020-09-26,4,0,100,"Paris"
26309163,40384152,2015-08-03,1,1,"Entire apartment","Entire home/apt",65,2020-10-07,34,0,99,"Paris"
36072324,90038722,2016-08-15,0,0,"Entire apartment","Entire home/apt",75,2019-09-18,11,0,93,"Paris"
30040567,44154085,2015-09-14,0,1,"Entire apartment","Entire home/apt",90,2019-03-27,14,0,99,"Paris"
6817772,35699190,2015-06-13,0,3,"Entire apartment","Entire home/apt",200,2020-01-27,1,29,100,"Paris"
21072011,8810188,2013-09-13,1,1,"Entire apartment","Entire home/apt",47,2020-07-15,45,13,96,"Paris"
16379602,81086085,2016-07-01,0,2,"Private room in apartment","Private room",80,2020-03-26,37,28,97,"Paris"
7499159,37249471,2015-07-01,0,1,"Entire apartment","Entire home/apt",60,2020-07-16,17,0,92,"Paris"
45284173,365950645,2020-09-04,0,0,"Entire apartment","Entire home/apt",47,2020-09-25,1,0,100,"Paris"
24745583,180647809,2018-03-26,0,8,"Room in hostel","Hotel room",31,2020-09-24,710,0,86,"Paris"
6726436,35203138,2015-06-07,0,1,"Entire apartment","Entire home/apt",110,2019-01-06,19,0,97,"Paris"
1253640,6735849,2013-06-04,1,1,"Entire apartment","Entire home/apt",395,2020-08-23,62,1,98,"Paris"
30739452,13366412,2014-03-21,0,1,"Entire apartment","Entire home/apt",99,2019-04-19,2,0,90,"Paris"
13609483,78767172,2016-06-20,0,2,"Private room in apartment","Private room",55,2019-05-19,49,0,93,"Paris"
31377174,48075329,2015-11-03,1,1,"Entire apartment","Entire home/apt",110,2020-01-19,16,0,100,"Paris"
43757464,339180087,2020-02-27,0,0,"Entire apartment","Entire home/apt",58,2020-07-25,2,0,70,"Paris"
19835809,23096406,2014-10-29,0,1,"Entire apartment","Entire home/apt",110,2020-01-03,14,9,90,"Paris"
24709336,186755126,2018-04-28,0,2,"Entire apartment","Entire home/apt",65,2020-08-16,9,0,91,"Paris"
1569420,7280463,2013-07-04,0,1,"Entire apartment","Entire home/apt",39,2020-08-23,52,9,93,"Paris"
24654956,15698090,2014-05-19,0,1,"Entire apartment","Entire home/apt",70,2019-06-29,34,0,91,"Paris"
32913169,247617950,2019-03-08,0,1,"Entire apartment","Entire home/apt",84,2020-03-16,47,0,91,"Paris"
4904781,871356,2011-07-26,0,1,"Entire apartment","Entire home/apt",100,2019-07-13,15,0,99,"Paris"
31039700,231842181,2018-12-21,0,1,"Entire apartment","Entire home/apt",100,2019-02-28,7,0,97,"Paris"
2024381,9697850,2013-10-29,1,1,"Entire apartment","Entire home/apt",120,2020-03-04,31,0,98,"Paris"
31412936,22156366,2014-10-05,1,1,"Entire apartment","Entire home/apt",120,2020-02-23,11,0,100,"Paris"
39603216,303594676,2019-10-21,0,1,"Entire apartment","Entire home/apt",69,2020-02-18,2,0,90,"Paris"
